,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
7561,triad,'Grammatical number related to precisely 3 objects of the same type',a group of three related people or things,11,8,Three things or people that are together,7,0.8533952
7562,venom,'Poisonous animal secretions forming fluid mixtures of many different enzymes toxins and other substances. These substances are produced in specialized glands and secreted through specialized delivery systems (nematocysts spines fangs etc.) for disabling prey or predator. ',the poisonous liquid that some snakes spiders etc. produce when they bite or sting you,37,15,The poison that some snakes and spiders make when they bite,11,0.9073798
7563,amplification,'The act or result of amplifying enlarging extending or adding to.',the act of adding details to a story statement etc.,11,10,The act of making a story bigger by adding little things,11,0.80514795
7564,blame,'Culpability for something negative or undesirable.',used to say that you think that what somebody did was reasonable and the right thing to do,6,18,I think what they did was good and right,9,0.79957485
7565,hutch,'A small crude shelter used as a dwelling.',a wooden box with a front made of wire used for keeping rabbits or other small animals in,8,18,A small house with wire in front to keep rabbits,10,0.8184292
7566,canister,'A cylindrical or rectangular container usually of lightweight metal plastic or laminated pasteboard used for holding a dry product (as tea crackers flour matches).',a container with a lid (= cover) for holding tea coffee etc.,24,12,A box with a top to keep tea or coffee,10,0.84818363
7567,cellular,'Of relating to consisting of or resembling a cell or cells.',connected with or consisting of the cells of plants or animals,11,11,made up of tiny parts from plants or animals,9,0.71915734
7568,confinement,'The act of confining or the state of being confined.',the state of being forced to stay in a closed space prison etc.; the act of putting somebody there,10,19,Being made to stay in a closed place like a prison putting someone in there,15,0.86902654
7569,cleanser,'A detergent powder or other chemical agent that removes dirt grease or stains.',a liquid or cream for cleaning your face especially for removing make-up,13,12,A wet stuff or cream to clean your face especially to take away makeup,14,0.9305623
7570,inference,'The act or process of inferring by deduction or induction.',the act or process of forming an opinion based on what you already know,10,14,Making a guess from what you already know,8,0.81962097
7571,clearance,'The empty space between two objects.',the amount of space or distance that is needed between two objects so that they do not touch each other,6,20,The space needed between two things so they dont touch,10,0.7627952
7572,clipboard,'A small board having at the top a clip for holding papers and serving as a portable writing surface.',a small board with a clip at the top for holding papers used by somebody who wants to write while standing or moving around,19,24,A little board with a clip on top to hold papers for someone who wants to write while standing or moving,21,0.9671596
7573,clement,'Inclined to be lenient or merciful.',being kind and showing mercy to somebody who is being punished,6,11,Being nice and giving someone a break who is in trouble,11,0.85440135
7574,shipment,'The act of sending off something.',the process of sending goods from one place to another,6,10,Sending things from one place to another,7,0.8892952
7575,via,'By way of; passing through.',by means of a particular person system etc.,5,8,With the help of someone or something,7,0.6729308
7576,loop,'A length of thread line or rope that is doubled over to make an opening; the opening so formed.',a piece of rope wire etc. in the shape of a curve or circle,19,14,A bit of rope or wire in a round shape,10,0.9065821
7577,orient,To find one's way (usually by means of a compass).,to find your position in relation to everything that is around or near you,10,14,Find where you are with things around you,8,0.84374976
7578,compiler,'A program that decodes instructions written in a higher order language and produces an assembly language program.',a program that translates instructions from one computer language into another for a computer to understand,17,16,A program that changes computer words into different ones so the computer can understand,14,0.93694144
7579,expressive,'Effectively conveying thought or feeling.',showing or able to show your thoughts and feelings,5,9,Showing or able to show what you think and feel,10,0.92490256
7580,context,'The text in which a word or passage appears and which helps ascertain its meaning.',the words that come just before and after a word phrase or statement and help you to understand its meaning,15,20,The words around a word or phrase that help you understand what it means,14,0.92894924
